ObjectId(5a4b7677e4b0ff7b9d086e63),,2018-02-07T06:27:44.892Z,2018-11-02T06:16:36.005Z,OPEN
ObjectId(5a7a9c60e4b0425d69f7b78e),,2018-02-07T06:27:44.892Z,2018-11-02T06:16:36.005Z,OPEN
ObjectId(5a7a9d94e4b0425d69f7b7fb),,2018-02-07T06:32:52.615Z,2018-11-02T13:20:22.207Z,OPEN
ObjectId(5a7abf91e4b02ed0f831ba3a),,2018-02-07T08:57:53.309Z,2018-10-31T12:23:36.658Z,OPEN
ObjectId(5a7ae26fe4b02ed0f831ba4b),,2018-02-07T11:26:39.297Z,2018-10-31T12:28:09.518Z,OPEN
ObjectId(5a7ae348e4b02ed0f831ba54),,2018-02-07T11:30:16.586Z,2018-11-02T07:16:23.199Z,OPEN
ObjectId(5a7ae3b6e4b02ed0f831ba5a),,2018-02-07T11:32:06.847Z,2018-11-02T06:39:42.827Z,OPEN
ObjectId(5a7aea2fe4b02ed0f831bac8),,2018-02-07T11:59:43.694Z,2018-11-02T09:14:28.349Z,OPEN
ObjectId(5a7b1212e4b02ed0f831bb3a),,2018-02-07T14:49:54.199Z,2018-11-02T09:18:57.902Z,OPEN
ObjectId(5a7b1328e4b02ed0f831bc12),,2018-02-07T14:54:32.391Z,2018-11-02T10:30:56.986Z,OPEN
ObjectId(5a7b1461e4b02ed0f831bc23),,2018-02-07T14:59:45.323Z,2018-11-05T05:17:30.135Z,OPEN
ObjectId(5a7b1590e4b02ed0f831bc3c),,2018-02-07T15:04:48.934Z,2018-11-05T05:24:02.096Z,OPEN
ObjectId(5a7b17b2e4b02ed0f831bc50),,2018-02-07T15:13:54.657Z,2018-11-02T15:10:28.817Z,OPEN
ObjectId(5a7b1f18e4b02ed0f831bcbd),,2018-02-07T15:45:28.471Z,2018-12-28T10:45:01.996Z,OPEN
ObjectId(5a7b49fbe4b02ed0f831bd2a),,2018-02-07T18:48:27.911Z,2018-11-05T07:20:28.726Z,OPEN
ObjectId(5a7bf3ede4b02ed0f831bdb7),,2018-02-08T06:53:33.961Z,2018-11-05T08:05:33.817Z,OPEN
ObjectId(5a7bfb02e4b02ed0f831be24),,2018-02-08T07:23:46.258Z,2018-11-05T09:00:15.010Z,OPEN
ObjectId(5a7c035ee4b02ed0f831be94),,2018-02-08T07:59:26.427Z,2018-02-09T07:21:09.823Z,OPEN
ObjectId(5a7c206ae4b02ed0f831bf04),,2018-02-08T10:03:22.145Z,2018-02-08T10:04:29.501Z,OPEN
ObjectId(5a7c23afe4b02ed0f831bf07),,2018-02-08T10:17:19.387Z,2018-11-05T06:05:47.056Z,OPEN
ObjectId(5a7c811be4b02ed0f831bf75),,2018-02-08T16:55:55.167Z,2018-02-09T16:09:12.371Z,OPEN
ObjectId(5a7d4bf0e4b02ed0f831c034),,2018-02-09T07:21:20.520Z,2018-02-09T07:23:47.464Z,OPEN
ObjectId(5a7d4c84e4b02ed0f831c0a1),,2018-02-09T07:23:48.939Z,2018-02-09T07:24:16.048Z,OPEN
ObjectId(5a7d4cdee4b02ed0f831c10e),,2018-02-09T07:25:18.513Z,2018-02-23T10:47:57.220Z,OPEN
ObjectId(5a7d80e4e4b02ed0f831c180),,2018-02-09T11:07:16.641Z,2018-02-12T13:35:30.937Z,OPEN
ObjectId(5a7d94d8e4b02ef585d805fc),,2018-02-09T12:32:24.007Z,2018-02-13T14:00:28.740Z,OPEN
ObjectId(5a7d9527e4b02ef585d80601),,2018-02-09T12:33:43.206Z,2018-11-05T05:54:48.448Z,OPEN
ObjectId(5a7d9537e4b02ef585d80607),,2018-02-09T12:33:59.221Z,2018-02-26T13:19:01.788Z,OPEN
ObjectId(5a7db3e5e4b02ef585d80618),,2018-02-09T14:44:53.614Z,2018-02-09T14:44:53.614Z,OPEN
ObjectId(5a7db443e4b02ef585d80686),,2018-02-09T14:46:27.730Z,2018-02-09T14:46:27.730Z,OPEN
ObjectId(5a7db4a6e4b02ef585d806f3),,2018-02-09T14:48:06.571Z,2018-02-09T14:49:38.104Z,OPEN
ObjectId(5a7db580e4b02ef585d80700),,2018-02-09T14:51:44.214Z,2018-02-09T15:31:30.585Z,OPEN
ObjectId(5a7dba64e4b02ef585d80770),,2018-02-09T15:12:36.919Z,2018-11-02T14:22:20.276Z,OPEN
ObjectId(5a7dbcd7e4b02ef585d80772),,2018-02-09T15:23:03.964Z,2018-02-09T15:23:12.685Z,OPEN
ObjectId(5a7dc159e4b02ef585d8077f),,2018-02-09T15:42:17.326Z,2018-02-09T15:43:42.370Z,OPEN
